# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
TPANIC_RS00010	gene-TPANIC_RS00010	TRANSCRIPT_gene-TPANIC_RS00010	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00015	gene-TPANIC_RS00015	TRANSCRIPT_gene-TPANIC_RS00015	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00020	gene-TPANIC_RS00020	TRANSCRIPT_gene-TPANIC_RS00020	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00045	gene-TPANIC_RS00045	TRANSCRIPT_gene-TPANIC_RS00045	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3
TPANIC_RS00050	gene-TPANIC_RS00050	TRANSCRIPT_gene-TPANIC_RS00050	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS00055	gene-TPANIC_RS00055	TRANSCRIPT_gene-TPANIC_RS00055	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS00060	gene-TPANIC_RS00060	TRANSCRIPT_gene-TPANIC_RS00060	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00065	gene-TPANIC_RS00065	TRANSCRIPT_gene-TPANIC_RS00065	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00075	gene-TPANIC_RS00075	TRANSCRIPT_gene-TPANIC_RS00075	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00080	gene-TPANIC_RS00080	rna-TPANIC_RS00080	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00085	gene-TPANIC_RS00085	rna-TPANIC_RS00085	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00090	gene-TPANIC_RS00090	rna-TPANIC_RS00090	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00095	gene-TPANIC_RS00095	rna-TPANIC_RS00095	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00100	gene-TPANIC_RS00100	rna-TPANIC_RS00100	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00105	gene-TPANIC_RS00105	TRANSCRIPT_gene-TPANIC_RS00105	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00110	gene-TPANIC_RS00110	TRANSCRIPT_gene-TPANIC_RS00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00120	gene-TPANIC_RS00120	TRANSCRIPT_gene-TPANIC_RS00120	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
TPANIC_RS00125	gene-TPANIC_RS00125	TRANSCRIPT_gene-TPANIC_RS00125	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
TPANIC_RS00130	gene-TPANIC_RS00130	TRANSCRIPT_gene-TPANIC_RS00130	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
TPANIC_RS00135	gene-TPANIC_RS00135	TRANSCRIPT_gene-TPANIC_RS00135	protein_coding	2	1	2	0	0	0	1	0	0	2	1	0	0	1	0
TPANIC_RS00140	gene-TPANIC_RS00140	TRANSCRIPT_gene-TPANIC_RS00140	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	5
TPANIC_RS00155	gene-TPANIC_RS00155	TRANSCRIPT_gene-TPANIC_RS00155	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00160	gene-TPANIC_RS00160	TRANSCRIPT_gene-TPANIC_RS00160	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00165	gene-TPANIC_RS00165	TRANSCRIPT_gene-TPANIC_RS00165	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TPANIC_RS00170	gene-TPANIC_RS00170	TRANSCRIPT_gene-TPANIC_RS00170	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00175	gene-TPANIC_RS00175	TRANSCRIPT_gene-TPANIC_RS00175	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00180	gene-TPANIC_RS00180	TRANSCRIPT_gene-TPANIC_RS00180	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS00185	gene-TPANIC_RS00185	TRANSCRIPT_gene-TPANIC_RS00185	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS00190	gene-TPANIC_RS00190	TRANSCRIPT_gene-TPANIC_RS00190	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
